run_id,video_id,class_name,unique_tracks
20260114_054217,CAMERA_DEBUT_COULOIR_DROIT,backpack,2
20260114_054217,CAMERA_DEBUT_COULOIR_DROIT,handbag,14
20260114_054217,CAMERA_DEBUT_COULOIR_DROIT,person,141
20260114_054217,CAMERA_DEBUT_COULOIR_DROIT,suitcase,2
20260114_054217,CAMERA_DEVANTURE_PORTE_ENTREE,backpack,5
20260114_054217,CAMERA_DEVANTURE_PORTE_ENTREE,bicycle,70
20260114_054217,CAMERA_DEVANTURE_PORTE_ENTREE,car,191
20260114_054217,CAMERA_DEVANTURE_PORTE_ENTREE,handbag,8
20260114_054217,CAMERA_DEVANTURE_PORTE_ENTREE,motorcycle,85
20260114_054217,CAMERA_DEVANTURE_PORTE_ENTREE,person,174
20260114_054217,CAMERA_DEVANTURE_PORTE_ENTREE,suitcase,1
20260114_054217,CAMERA_DEVANTURE_PORTE_ENTREE,truck,5
20260114_054217,CAMERA_DEVANTURE_SOUS_ARBRE,car,6
20260114_054217,CAMERA_DEVANTURE_SOUS_ARBRE,person,75
20260114_054217,CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE,backpack,1
20260114_054217,CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE,handbag,3
20260114_054217,CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE,person,68
20260114_054217,CAMERA_FIN_COULOIR_DROIT,backpack,5
20260114_054217,CAMERA_FIN_COULOIR_DROIT,handbag,27
20260114_054217,CAMERA_FIN_COULOIR_DROIT,person,170
20260114_054217,CAMERA_FIN_COULOIR_DROIT,suitcase,1
20260114_054217,CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,handbag,3
20260114_054217,CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,person,18
20260114_054217,CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,suitcase,2
20260114_054217,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_1,handbag,1
20260114_054217,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_1,person,21
20260114_054217,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_2,backpack,2
20260114_054217,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_2,handbag,4
20260114_054217,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_2,person,36
20260114_054217,CAMERA_HALL_PORTE_DROITE,backpack,15
20260114_054217,CAMERA_HALL_PORTE_DROITE,car,2
20260114_054217,CAMERA_HALL_PORTE_DROITE,handbag,31
20260114_054217,CAMERA_HALL_PORTE_DROITE,person,158
20260114_054217,CAMERA_HALL_PORTE_DROITE,suitcase,1
20260114_054217,CAMERA_HALL_PORTE_ENTREE,backpack,7
20260114_054217,CAMERA_HALL_PORTE_ENTREE,handbag,15
20260114_054217,CAMERA_HALL_PORTE_ENTREE,person,126
20260114_054217,CAMERA_HALL_PORTE_ENTREE,suitcase,2
20260114_054217,CAMERA_HALL_PORTE_GAUCHE,backpack,6
20260114_054217,CAMERA_HALL_PORTE_GAUCHE,handbag,24
20260114_054217,CAMERA_HALL_PORTE_GAUCHE,person,170
20260114_054217,CAMERA_HALL_PORTE_GAUCHE,suitcase,3
